Bandit,Reward,Algorithm
2.0,2.0907529216937135,EpsilonGreedy
3.0,2.3596381343234984,EpsilonGreedy
3.0,3.749590866343672,EpsilonGreedy
3.0,4.863096293540303,EpsilonGreedy
3.0,3.369257382295105,EpsilonGreedy
3.0,3.9182584444473627,EpsilonGreedy
3.0,2.8041966733353387,EpsilonGreedy
3.0,3.520488757973211,EpsilonGreedy
3.0,5.441530641653069,EpsilonGreedy
3.0,5.615714917616982,EpsilonGreedy
3.0,3.9506299673624787,EpsilonGreedy
3.0,3.0173694156000024,EpsilonGreedy
3.0,3.7427088414047325,EpsilonGreedy
3.0,4.769896118457459,EpsilonGreedy
3.0,3.7946661697340187,EpsilonGreedy
3.0,4.898764715134289,EpsilonGreedy
3.0,3.0671756298096935,EpsilonGreedy
3.0,3.161313217470918,EpsilonGreedy
3.0,2.411880706623765,EpsilonGreedy
3.0,3.206127612255056,EpsilonGreedy
3.0,5.743634117312924,EpsilonGreedy
3.0,4.6671415163455725,EpsilonGreedy
3.0,4.964884632898757,EpsilonGreedy
3.0,3.2993553117127044,EpsilonGreedy
3.0,4.877251308281136,EpsilonGreedy
3.0,2.699294726634686,EpsilonGreedy
3.0,3.9132485794059964,EpsilonGreedy
3.0,3.4064790680077737,EpsilonGreedy
3.0,2.7451502606431464,EpsilonGreedy
3.0,3.876687617676132,EpsilonGreedy
3.0,3.8677496451042774,EpsilonGreedy
3.0,4.658212398048569,EpsilonGreedy
3.0,3.612390654202007,EpsilonGreedy
3.0,5.149109649087383,EpsilonGreedy
3.0,4.050120407559892,EpsilonGreedy
3.0,4.160800365145647,EpsilonGreedy
3.0,4.25150762245055,EpsilonGreedy
3.0,3.170423874469843,EpsilonGreedy
3.0,3.82084859873773,EpsilonGreedy
3.0,5.233697718558393,EpsilonGreedy
3.0,4.98830340709279,EpsilonGreedy
3.0,2.90835886296803,EpsilonGreedy
3.0,3.830666170881382,EpsilonGreedy
3.0,4.385561570628928,EpsilonGreedy
3.0,3.10451164820996,EpsilonGreedy
3.0,2.4364369129845684,EpsilonGreedy
3.0,1.9130990521068978,EpsilonGreedy
3.0,3.927093480209372,EpsilonGreedy
3.0,3.794641939895913,EpsilonGreedy
3.0,2.119650599817583,EpsilonGreedy
3.0,3.5434195935389203,EpsilonGreedy
3.0,4.480667049557414,EpsilonGreedy
3.0,3.9804771185659917,EpsilonGreedy
3.0,4.920404980134744,EpsilonGreedy
3.0,4.84316502678526,EpsilonGreedy
3.0,5.249403914096142,EpsilonGreedy
3.0,4.220493597054743,EpsilonGreedy
3.0,5.651936731490275,EpsilonGreedy
3.0,4.780298516957324,EpsilonGreedy
3.0,4.972865793383682,EpsilonGreedy
3.0,4.161683907076335,EpsilonGreedy
3.0,3.2216631219471776,EpsilonGreedy
3.0,4.6022009894832365,EpsilonGreedy
3.0,5.147538349812281,EpsilonGreedy
3.0,5.525841294243381,EpsilonGreedy
3.0,5.427868254062266,EpsilonGreedy
3.0,3.210279025624013,EpsilonGreedy
3.0,2.624249612059793,EpsilonGreedy
3.0,3.989907777123035,EpsilonGreedy
3.0,5.030436887876198,EpsilonGreedy
