Bandit,Reward,Algorithm
2.0,0.9406659281492784,ThompsonSampling
2.0,3.918548679211616,ThompsonSampling
2.0,4.054530217161187,ThompsonSampling
2.0,3.3394894253658065,ThompsonSampling
2.0,4.350637313599374,ThompsonSampling
2.0,1.5425208662710748,ThompsonSampling
2.0,4.483335720370285,ThompsonSampling
2.0,2.817153294588916,ThompsonSampling
2.0,1.6618743310578608,ThompsonSampling
2.0,1.733238168474871,ThompsonSampling
2.0,2.247713868827245,ThompsonSampling
2.0,3.498384151941364,ThompsonSampling
2.0,3.188114454590125,ThompsonSampling
2.0,4.225256752771962,ThompsonSampling
2.0,4.141905863493348,ThompsonSampling
2.0,3.1478078879200995,ThompsonSampling
2.0,2.825458716334396,ThompsonSampling
2.0,3.6217890698390525,ThompsonSampling
2.0,3.306156542125089,ThompsonSampling
2.0,1.691068723570845,ThompsonSampling
2.0,1.4511019692925844,ThompsonSampling
2.0,1.314098472677305,ThompsonSampling
2.0,2.346791289435815,ThompsonSampling
2.0,2.710834081758008,ThompsonSampling
2.0,3.8871166595344113,ThompsonSampling
2.0,2.1025402541442464,ThompsonSampling
2.0,3.2971619983472733,ThompsonSampling
2.0,4.784857891126199,ThompsonSampling
2.0,2.4472252912798123,ThompsonSampling
2.0,2.5665605765193,ThompsonSampling
2.0,2.2031680194466623,ThompsonSampling
2.0,3.379252142990318,ThompsonSampling
2.0,3.658405064297843,ThompsonSampling
2.0,3.6190044204691922,ThompsonSampling
2.0,2.8490377065861696,ThompsonSampling
2.0,3.0631777666785958,ThompsonSampling
2.0,2.4178992971993867,ThompsonSampling
2.0,4.561876241598294,ThompsonSampling
2.0,2.8728737555133312,ThompsonSampling
2.0,2.2737006802507014,ThompsonSampling
2.0,2.9397902776936125,ThompsonSampling
2.0,1.6967001861605262,ThompsonSampling
2.0,2.990130045477873,ThompsonSampling
2.0,2.117438721867453,ThompsonSampling
2.0,2.4120636197868865,ThompsonSampling
2.0,0.43940410927990214,ThompsonSampling
0.0,-0.0456363881838977,ThompsonSampling
2.0,1.881447751914867,ThompsonSampling
2.0,3.1588767602216508,ThompsonSampling
2.0,4.477688380337416,ThompsonSampling
2.0,3.771043555082012,ThompsonSampling
2.0,4.549130843147044,ThompsonSampling
2.0,4.119613626316488,ThompsonSampling
2.0,3.0922849570856292,ThompsonSampling
2.0,1.6206047622990187,ThompsonSampling
2.0,2.690232875632546,ThompsonSampling
2.0,3.9799053809140137,ThompsonSampling
2.0,3.699958558786222,ThompsonSampling
2.0,2.656312652098545,ThompsonSampling
2.0,2.7827974622855183,ThompsonSampling
2.0,4.044052557805179,ThompsonSampling
2.0,1.1043742789917737,ThompsonSampling
2.0,3.716194248493631,ThompsonSampling
2.0,2.8289112546474846,ThompsonSampling
2.0,2.053207138483624,ThompsonSampling
2.0,4.293606292092835,ThompsonSampling
2.0,4.746907553263299,ThompsonSampling
2.0,4.546960280268143,ThompsonSampling
2.0,4.416925251308119,ThompsonSampling
2.0,4.416758616813384,ThompsonSampling
2.0,4.073332948158579,ThompsonSampling
2.0,1.2017567585429991,ThompsonSampling
2.0,4.442707249352153,ThompsonSampling
2.0,3.255196979015018,ThompsonSampling
2.0,3.1158142634190926,ThompsonSampling
2.0,3.6494314106445835,ThompsonSampling
2.0,2.873335212644235,ThompsonSampling
2.0,3.0031125734856583,ThompsonSampling
2.0,3.2847423124387536,ThompsonSampling
2.0,3.460675113385798,ThompsonSampling
2.0,4.757931279426806,ThompsonSampling
2.0,2.358875433931554,ThompsonSampling
2.0,2.425328127102945,ThompsonSampling
2.0,3.936099362506772,ThompsonSampling
2.0,1.914393267928294,ThompsonSampling
2.0,3.1995265127840367,ThompsonSampling
2.0,3.7452782423892703,ThompsonSampling
2.0,3.432571751526286,ThompsonSampling
2.0,3.1474564830550804,ThompsonSampling
2.0,3.3379591443565366,ThompsonSampling
2.0,1.5398374564626576,ThompsonSampling
2.0,3.605227474836295,ThompsonSampling
2.0,1.849956168151327,ThompsonSampling
2.0,4.055605639552155,ThompsonSampling
2.0,1.1646278598039488,ThompsonSampling
2.0,4.222237627206042,ThompsonSampling
2.0,2.6069827298048778,ThompsonSampling
2.0,2.858825634155336,ThompsonSampling
2.0,2.645933929864682,ThompsonSampling
2.0,3.8095419982780587,ThompsonSampling
2.0,3.6572474477325105,ThompsonSampling
2.0,4.245493309464653,ThompsonSampling
2.0,2.0817344471656583,ThompsonSampling
2.0,3.44298212988655,ThompsonSampling
2.0,2.2379181846399017,ThompsonSampling
2.0,3.3966626945453564,ThompsonSampling
2.0,0.827132708910669,ThompsonSampling
2.0,5.654753903568968,ThompsonSampling
2.0,3.8352407686436125,ThompsonSampling
2.0,3.728074306855365,ThompsonSampling
2.0,2.0821554510801836,ThompsonSampling
2.0,4.095147959720585,ThompsonSampling
2.0,0.6532306870310891,ThompsonSampling
